etudiant1,17
etudiant2,89
etudiant3,89
etudiant4,83
etudiant5,0
etudiant6,17
etudiant7,0
etudiant8,83
etudiant9,0
etudiant10,100
etudiant11,86
etudiant12,3
etudiant13,9
etudiant14,100
etudiant15,37
etudiant16,89
etudiant17,89
etudiant18,4
etudiant19,3
etudiant20,42
etudiant21,80
etudiant22,7
etudiant23,94
etudiant24,0
etudiant25,46
etudiant26,74
etudiant27,89
etudiant28,74
etudiant29,65
etudiant30,69
etudiant31,30
etudiant32,16
etudiant33,68
etudiant34,11
etudiant35,0
etudiant36,57
etudiant37,56
etudiant38,79
etudiant39,72
etudiant40,90
etudiant41,26
etudiant42,59
etudiant43,52
etudiant44,68
etudiant45,78
etudiant46,16
etudiant47,80
etudiant48,60
etudiant49,42
etudiant50,74
etudiant51,47
etudiant52,65
etudiant53,86
etudiant54,55
etudiant55,59
etudiant56,49
etudiant57,86
etudiant58,91
etudiant59,9
etudiant60,82
etudiant61,100
etudiant62,63
etudiant63,71
etudiant64,77
etudiant65,78
etudiant66,62
etudiant67,60
etudiant68,70
etudiant69,23
etudiant70,45
etudiant71,33
etudiant72,62
etudiant73,0
etudiant74,17
etudiant75,9
etudiant76,60
etudiant77,55
etudiant78,66
etudiant79,63
etudiant80,92
etudiant81,53
etudiant82,81
etudiant83,44
etudiant84,77
etudiant85,14
etudiant86,74
etudiant87,49
etudiant88,9
etudiant89,24
etudiant90,64
etudiant91,33
etudiant92,51
etudiant93,60
etudiant94,71
etudiant95,59
etudiant96,68
etudiant97,80
etudiant98,71
etudiant99,77
etudiant100,86
etudiant101,14
etudiant102,47
etudiant103,64
etudiant104,53
etudiant105,89
etudiant106,69
etudiant107,88
etudiant108,57
etudiant109,82
etudiant110,74
etudiant111,52
etudiant112,100
etudiant113,71
etudiant114,23
etudiant115,61
etudiant116,83
etudiant117,68
etudiant118,5
etudiant119,62
etudiant120,63
etudiant121,9
etudiant122,76
etudiant123,71
etudiant124,11
etudiant125,77
etudiant126,72
etudiant127,89
etudiant128,49
etudiant129,88
